year_bin_start,probability_density
1800,0.005222984815803407
1825,0.005252172562628434
1850,0.005280919936432951
1875,0.005309218055959814
1900,0.005337058148807153
1925,0.005364431555988373
1950,0.005391329736448965
1975,0.005417744271536707
2000,0.005443666869421972
2025,0.005469089369465131
2050,0.00549400374652723
2075,0.00551840211522151
2100,0.005542276734101772
2125,0.0055656200097851626
2150,0.005588424501005805
2175,0.005610682922596517
2200,0.005632388149395301
2225,0.005653533220074098
2250,0.005674111340886408
2275,0.005694115889331383
2300,0.005713540417731193
2325,0.005732378656719339
2350,0.005750624518636912
2375,0.005768272100834397
2400,0.005785315688876447
2425,0.005801749759647201
2450,0.005817568984353728
2475,0.005832768231425258
2500,0.0058473425693061085
2525,0.005861287269140008
2550,0.005874597807343963
2575,0.005887269868069276
2600,0.005899299345548526
2625,0.005910682346325952
2650,0.005921415191370037
2675,0.005931494418066588
2700,0.0059409167820905365
2725,0.005949679259155443
2750,0.005957779046638996
2775,0.0059652135650835126
2800,0.005971980459570334
2825,0.0059780776009668414
2850,0.00598350308704528
2875,0.005988255243472937
2900,0.005992332624672195
2925,0.0059957340145506246
2950,0.005998458427099951
2975,0.0060005051068640425
3000,0.006001873529275201
3025,0.0060025634008587445
3050,0.0060025746593058635
3075,0.006001907473414484
3100,0.0060005622428986475
3125,0.005998539598066171
3150,0.005995840399365499
3175,0.005992465736801603
3200,0.005988416929221681
3225,0.005983695523471705
3250,0.0059783032934237175
3275,0.005972242238875583
3300,0.0059655145843236015
3325,0.005958122777609164
3350,0.005950069488440804
3375,0.005941357606792515
3400,0.005931990241180064
3425,0.005921970716816383
3450,0.005911302573647913
3475,0.005899989564273263
3500,0.005888035651745922
3525,0.005875445007263103
3550,0.00586222200774201
3575,0.005848371233286406
3600,0.005833897464544455
3625,0.0058188056799609155
3650,0.005803101052925305
3675,0.005786788948818637
3700,0.005769874921960841
3725,0.005752364712461529
3750,0.005734264242976508
3775,0.0057155796153724745
3800,0.005696317107302773
3825,0.005676483168696799
3850,0.005656084418165547
3875,0.005635127639326624
3900,0.005613619777051063
3925,0.005591567933635126
3950,0.005568979364900022
3975,0.005545861476222377
4000,0.005522221818498746
4025,0.005498068084046932
4050,0.00547340810244753
4075,0.005448249836328515
4100,0.005422601377096349
4125,0.0053964709406165426
4150,0.00536986686284708
4175,0.005342797595427764
4200,0.00531527170122886
4225,0.005287297849862285
4250,0.005258884813158576
4275,0.005230041460612878
4300,0.0052007767548033455
4325,0.005171099746785175
4350,0.0051410195714635554
4375,0.005110545442948853
4400,0.005079686649897184
4425,0.005048452550839842
4450,0.005016852569504618
4475,0.004984896190132405
4500,0.004952592952792141
4525,0.004919952448697447
4550,0.0048869843155280104
4575,0.004853698232758889
4600,0.004820103917000819
4625,0.004786211117354661
4650,0.004752029610782934
4675,0.0047175691975015754
4700,0.004682839696394651
4725,0.004647850940455249
4750,0.004612612772255166
4775,0.0045771350394463485
4800,0.004541427590296802
