sample,peak_probability,peak_year,expected_sources_at_peak,area_under_probability_curve,probability_2026,probability_2100,probability_2500,probability_3000,probability_5000,probability_10000,probability_20000,fraction_life,fraction_intelligence,fraction_communicative,birth_year_mean,development_duration_mean,radio_window_years,max_effective_transmit_power_w,power_rolloff_decades,beam_coverage,duty_cycle,frequency_coverage,catalog_selection_bias,assumption_correlation
1,0.059278074546459725,20000,0.06108902407007524,989.7929235199007,0.01890015401649847,0.01998879264058262,0.024538279856699874,0.030453784983636822,0.05019241264871299,0.05925080131056104,0.059278074546459725,0.229014445967819,0.07039288052065024,0.18697586405817626,-1184.1073237055116,4163.0954817732845,561.1211016616533,1.2215565873665764e+18,1.3247423471402733,0.5052293266260879,0.5893188071534243,0.4650839857997462,0.30756200447883825,0.16020862970522898
2,0.1676409270113981,20000,0.18332308305040088,2833.6514087388973,0.06838708548466621,0.0713619468875164,0.08342279066542335,0.0983973136870886,0.14526942643186624,0.16755280690945273,0.1676409270113981,0.28873443111605807,0.19885239763740484,0.205045705608862,-1547.845482196853,4172.952307948048,851.2209714674432,6.599753963653624e+17,1.3734056292783898,0.38165681330684237,0.6059404669249796,0.3072637335127936,0.4767848962231657,0.12657375543932736
3,0.0028989945902057057,20000,0.0029031626654934814,47.65744633318718,0.0009315415778606839,0.0009758856573226504,0.0011601195923917063,0.0014000494177631717,0.0022735052932530975,0.0028903360714950255,0.0028989945902057057,0.03937062735639306,0.05079342097035375,0.11173383180168203,-1105.794490624617,4225.708183208469,374.56329832013523,6.019704413250666e+17,1.2862725192361324,0.45790258890222774,0.5868909885944085,0.49794153927124263,0.4880038889772999,0.3024956890488152
4,0.015078280798266674,19000,0.01519195972423002,242.96914173439208,0.00252827266270117,0.0027445217870406546,0.003717828932940037,0.005149460721435184,0.011363902569452855,0.01507176837928037,0.015078280798266674,0.16795357161407717,0.046697399013271475,0.14946916274017363,-1275.3031197854484,5025.544700058123,355.1681477406583,1.1651651488524093e+19,1.4184528338963374,0.4602491506915315,0.6866469475536567,0.4372363580056268,0.23360026037711235,0.19920757609852013
5,0.07956064867187373,20000,0.08286980792169309,1312.457406368342,0.021050501291317025,0.022432505043860518,0.028332826005312284,0.03628242631884726,0.06491053128416235,0.07950849203256005,0.07956064867187373,0.41670957968141786,0.026667250682142544,0.20405413141397666,-1386.0431882960722,4662.817196932821,2330.287774226822,3.490980364064317e+17,1.0862095440599866,0.2541862166418927,0.6280243297783499,0.37462434156766555,0.3907624245491395,0.3348130421064385
6,0.007814703633852615,20000,0.00784509064024477,132.44125508020144,0.003019389629633884,0.0031756606406226906,0.0038117691658247077,0.004599827543139257,0.006919276254420903,0.007810676836610964,0.007814703633852615,0.1574423561660696,0.06432779452423255,0.05911929193220669,-1987.115378567421,4593.546222416251,643.4315279159309,1.3365248143248952e+18,1.6393975547397,0.4681198450280206,0.5375619292017413,0.3193653204674034,0.5228333113015753,0.2913087272125845
7,0.08601417484513652,20000,0.08989977930970142,1419.4303712208225,0.03313656243333507,0.034326079398225184,0.03917447349749703,0.04532231007989951,0.06733041899990477,0.08555009666611946,0.08601417484513652,0.47076860953086713,0.07825670072373771,0.5196227493610011,-1661.4943531448203,4525.9017688366275,349.4379591845894,1.1681289025093816e+19,1.5330162124471312,0.44024862616406063,0.2130345621104235,0.547446714358626,0.4750840840863813,0.1976460967594308
8,0.050352988954491806,18800,0.05165158141834658,848.6151615998098,0.01625265990072189,0.01728527668203772,0.02161198085068239,0.0272128885085392,0.04458306555119551,0.05034970930600602,0.050352988954491806,0.167908980753562,0.07986406616296017,0.4768572569258259,-1974.795314740046,4806.401568828882,531.9949789143403,1.1722843508941253e+17,1.3206577511976272,0.2168142522983227,0.6193662310367207,0.4504330272655203,0.7006557007772968,0.28006282339334293
9,0.02960221758979964,20000,0.030044692040713736,487.3282185878231,0.011946497493023456,0.012330880181424697,0.013889237554091771,0.015851665887509303,0.022889308340688252,0.02933020866385927,0.02960221758979964,0.4984848305574581,0.029743258627560352,0.18574499253781737,-1354.5844556936536,4121.793913945283,899.8400906555066,3.4220719665277645e+18,1.266378620822667,0.28783002106116384,0.3348123746897317,0.4767198010444224,0.3749829593838809,0.5031336457891907
10,0.020282773588358838,20000,0.02048919390296458,335.8920422303161,0.006834636614522882,0.007166167179552874,0.008536043397566973,0.010297766345118253,0.016402320330932252,0.02023024574381649,0.020282773588358838,0.16974548206300624,0.10101170989856366,0.07155495569279337,-1677.9581602467804,4685.391002816888,634.4071025207516,2.2048944262876554e+18,1.4224636397989725,0.4137153804856485,0.4048833984980741,0.6041269366768114,0.41165634018973735,0.32877986125201925
11,0.18838611669294458,20000,0.20851283761346007,3015.9645521515495,0.03737434520544147,0.03996164862414686,0.05127257654275641,0.06725572869315366,0.13520528593524106,0.18793567430547187,0.18838611669294458,0.48017197952892604,0.12401687533462324,0.23660069514254117,-531.2421442047641,4433.408047626282,1469.2320532757321,2.452072130795471e+18,1.6855238596101108,0.288822148846811,0.27896258241872796,0.49100398046370586,0.4306717467974738,0.19262889797304653
12,0.07692630671121847,20000,0.08001417559650033,1289.7945568868245,0.025781884633429453,0.02723273893694833,0.03325816019034922,0.041001650143214996,0.06602390450866569,0.07689391707740245,0.07692630671121847,0.40089359338288943,0.12386877576479834,0.10597422730873501,-1266.8017001904586,4166.3193142033615,634.0351016074239,2.4672274606802924e+18,1.4122255571849287,0.28157051209080836,0.5548270795354173,0.5884629751645271,0.3105751586632316,0.29129088933597613
13,0.04466341263733109,20000,0.0456811142927238,733.0238395801852,0.012773954854739644,0.013518804009824303,0.01664645685696431,0.02076003636893131,0.03534974262881019,0.04449457781452637,0.04466341263733109,0.2504135903550469,0.3476151238427761,0.058248582782959524,-1187.1222308670917,4477.455551513288,646.9423129432543,4.6600333625148717e+17,1.3644774865974874,0.29131513415262256,0.40615622416817626,0.45851931578099725,0.3633439970698119,0.2714571946741773
14,0.03926966869672199,20000,0.040053496931452964,626.9376505099495,0.008752709602193987,0.009352058673568475,0.011914705321195096,0.015377940855391237,0.028364190707253822,0.038620330518063684,0.03926966869672199,0.05826981591163539,0.30145625602818027,0.18071037493436434,-715.6925221947032,4565.82053356296,402.8729743679723,3.8915072912878e+17,1.4067268996857134,0.44085268823833834,0.6703352382925093,0.4153170537569475,0.2164113806827058,0.20785912512432142
15,0.05174522728541997,20000,0.05311795012724114,832.7004349209104,0.01559781974030272,0.016263787190619827,0.01903617015796788,0.022684226314703237,0.03702990600584377,0.051255695540607715,0.05174522728541997,0.4734165573240285,0.11206525565087688,0.0544749998868698,-1515.7731802596704,4978.4733308138475,770.53774014465,2.3311372519503315e+17,1.2647475229906167,0.4152556348354749,0.5791052177189193,0.38611190933162765,0.26133655588295,0.17852214850574763
16,0.032999265596541316,20000,0.033550393842832045,542.847674820613,0.009723462106385306,0.010249863211269306,0.012463488073682472,0.015395736672214388,0.026182795005184167,0.03295545500507058,0.032999265596541316,0.11668624456894301,0.12701427867796125,0.0422693156705641,-1649.975111524272,4842.452863049612,1127.4103202386152,2.7650119340537194e+17,1.0560603061022533,0.555025102413368,0.6333978707859711,0.5168431656481528,0.8063058497558557,0.24667964890340177
17,0.04502284024961101,20000,0.04605724528280257,715.454916490359,0.011989316138508621,0.012536787190987941,0.014838966331298775,0.017923315329535616,0.030653666728337137,0.04450412000744397,0.04502284024961101,0.35381022050259675,0.1000856031108232,0.1746954022578685,-457.7228935028172,4185.117082210375,822.6719010111048,9.742371755684232e+16,0.7112389387973894,0.15875229730849003,0.4902234200235897,0.43599497476531046,0.44630919297948946,0.17917699042198632
18,0.00502435225180875,20000,0.005036889879110687,81.60705786384442,0.0014526407353829818,0.0015236693456338601,0.0018217562447102598,0.0022177193136496687,0.0037542839998885302,0.005005215690131903,0.00502435225180875,0.1112533252242267,0.016943487253192897,0.24242983312538788,-1333.4757186805004,4677.929029795328,1365.2132088811375,3.19427799923074e+17,1.0974605724951685,0.28076187275968895,0.2330523936012758,0.4713585476058111,0.4333912740491662,0.21452565109704502
19,0.0652017597928145,20000,0.06740182573096723,1096.7605518827784,0.0207133266150481,0.02203105002835981,0.027560057414805827,0.03474056675644743,0.057315595999411606,0.06519471598960358,0.0652017597928145,0.158466119065927,0.10480838839815408,0.47535962115302044,-1482.7851813727584,4366.92437945484,324.19698155491636,1.1114417288514292e+18,1.982409894902738,0.4749887333532481,0.6384668644684878,0.35599440647912894,0.4907489910010144,0.1511932589973857
20,0.015444883434412304,20000,0.015564186673721078,250.3869570061787,0.004073711214226616,0.004297884521626161,0.005247961312488503,0.006527318353257927,0.01154187633746806,0.015394498246182331,0.015444883434412304,0.29963349517219484,0.10838379154935439,0.12334789774276815,-600.2790876773296,4071.8861318487357,519.515092712921,2.2352370795481718e+18,1.3781978199665144,0.14924023771086564,0.34590784424828025,0.5558343134582034,0.5769334017557184,0.48703335776390005
21,0.07248764437266897,20000,0.07522083821034718,1225.7469663873326,0.03474675224616708,0.035791328270862954,0.039958240568921055,0.045041414573797955,0.061458891781150715,0.07230898960199539,0.07248764437266897,0.585142981304908,0.01651592596632417,0.3080646697036793,-2362.3305905017965,4557.003615634961,1963.3704324619653,3.8162633213010584e+16,1.3451567925946741,0.2648003094175534,0.5152983519196721,0.3878098645355139,0.5866070373557314,0.1322258772414202
22,0.07882560481275391,20000,0.08207220666614042,1314.7671202717509,0.026994618301723894,0.028364305603353013,0.03402829187770373,0.04129836355524541,0.06574698784318322,0.07874726338152704,0.07882560481275391,0.30054832421076033,0.27071532225096184,0.1185206273544001,-1405.2080957738017,4344.817007502318,685.6381551140943,2.096583090016931e+19,1.5235563416227533,0.32938939447190374,0.4133409250358304,0.34704128867130185,0.5674739837131245,0.23520050871224565
23,0.08434032855887252,20000,0.08807171201017885,1400.918465441763,0.030900401869606964,0.032224562947676505,0.03765055609926249,0.0445523691529901,0.06838536816500196,0.08412966627734364,0.08434032855887252,0.32496178230355016,0.06979046988749256,0.2841461599236489,-1552.1906085566475,4458.777545290156,940.8499068947401,2.2655156660832422e+17,0.9881839184098649,0.26377400027510434,0.3678461067852859,0.5684468983175863,0.39386455656298286,0.4415048939482109
24,0.0739008463978933,20000,0.07674450662028603,1259.168398274523,0.03010645599451678,0.03159090046933877,0.03761476638180428,0.04504176429406115,0.06655904088483666,0.07389241831831139,0.0739008463978933,0.6736744706318671,0.08143787662149773,0.07260759424584426,-1671.6540891931268,4165.1004723406195,761.1213701951434,2.652653703860203e+17,1.0340202514370522,0.5899205252979838,0.4780627564223452,0.34138410379791745,0.3519316421512953,0.36037814914576993
25,0.03754444852337979,20000,0.03826007264926826,609.9854885943033,0.012698962683335702,0.013195534079927573,0.015240799531514804,0.017883233835529144,0.02783720334688944,0.037195057731138625,0.03754444852337979,0.16160114398509864,0.11336012605720264,0.30145462088170416,-1162.8969755095611,4376.141554581808,420.27232036637207,7.889788835653641e+18,1.5353178102116818,0.3502625014148368,0.34180122869233615,0.5270341623119664,0.3203486324374998,0.16704046930181418
26,0.0055352683508360645,20000,0.005550490627399728,91.71975941477483,0.0017880591676363577,0.0018808174961625346,0.0022665324324778746,0.002766995197492461,0.004508438717917174,0.005526069404960143,0.0055352683508360645,0.1656024829834263,0.09576848158466315,0.048472662400713754,-1337.6565810546049,4368.481559451674,909.8362114746251,3.144036170092337e+17,1.4872539309464696,0.18955877818800068,0.45439154660297393,0.3663874458562505,0.40925827036817247,0.2723974573252598
