year_bin_start,probability_density
-3620,2.2222222222222223e-05
-3610,1.1111111111111112e-05
-3590,1.1111111111111112e-05
-3580,1.1111111111111112e-05
-3560,1.1111111111111112e-05
-3550,2.2222222222222223e-05
-3540,3.3333333333333335e-05
-3530,1.1111111111111112e-05
-3520,1.1111111111111112e-05
-3500,1.1111111111111112e-05
-3490,1.1111111111111112e-05
-3460,2.2222222222222223e-05
-3450,1.1111111111111112e-05
-3430,2.2222222222222223e-05
-3390,1.1111111111111112e-05
-3380,1.1111111111111112e-05
-3370,1.1111111111111112e-05
-3360,4.4444444444444447e-05
-3350,1.1111111111111112e-05
-3340,1.1111111111111112e-05
-3330,2.2222222222222223e-05
-3320,1.1111111111111112e-05
-3310,1.1111111111111112e-05
-3300,2.2222222222222223e-05
-3290,3.3333333333333335e-05
-3280,3.3333333333333335e-05
-3270,2.2222222222222223e-05
-3260,1.1111111111111112e-05
-3250,2.2222222222222223e-05
-3240,1.1111111111111112e-05
-3230,4.4444444444444447e-05
-3220,1.1111111111111112e-05
-3210,1.1111111111111112e-05
-3200,3.3333333333333335e-05
-3190,2.2222222222222223e-05
-3180,2.2222222222222223e-05
-3170,2.2222222222222223e-05
-3160,2.2222222222222223e-05
-3150,2.2222222222222223e-05
-3140,2.2222222222222223e-05
-3120,2.2222222222222223e-05
-3110,2.2222222222222223e-05
-3100,4.4444444444444447e-05
-3090,2.2222222222222223e-05
-3070,1.1111111111111112e-05
-3060,3.3333333333333335e-05
-3050,3.3333333333333335e-05
-3040,1.1111111111111112e-05
-3030,3.3333333333333335e-05
-3020,2.2222222222222223e-05
-3010,2.2222222222222223e-05
-2990,6.666666666666667e-05
-2980,3.3333333333333335e-05
-2970,2.2222222222222223e-05
-2960,5.555555555555556e-05
-2950,2.2222222222222223e-05
-2940,7.777777777777778e-05
-2930,1.1111111111111112e-05
-2920,3.3333333333333335e-05
-2910,2.2222222222222223e-05
-2900,6.666666666666667e-05
-2890,3.3333333333333335e-05
-2880,3.3333333333333335e-05
-2870,5.555555555555556e-05
-2860,6.666666666666667e-05
-2850,3.3333333333333335e-05
-2830,4.4444444444444447e-05
-2820,6.666666666666667e-05
-2810,3.3333333333333335e-05
-2800,5.555555555555556e-05
-2790,3.3333333333333335e-05
-2780,3.3333333333333335e-05
-2770,4.4444444444444447e-05
-2760,3.3333333333333335e-05
-2750,6.666666666666667e-05
-2740,4.4444444444444447e-05
-2730,4.4444444444444447e-05
-2720,3.3333333333333335e-05
-2710,4.4444444444444447e-05
-2700,1.1111111111111112e-05
-2690,1.1111111111111112e-05
-2680,6.666666666666667e-05
-2670,2.2222222222222223e-05
-2660,4.4444444444444447e-05
-2650,6.666666666666667e-05
-2640,5.555555555555556e-05
-2630,2.2222222222222223e-05
-2620,1.1111111111111112e-05
-2610,3.3333333333333335e-05
-2600,3.3333333333333335e-05
-2590,6.666666666666667e-05
-2580,1.1111111111111112e-05
-2570,2.2222222222222223e-05
-2560,6.666666666666667e-05
-2550,4.4444444444444447e-05
-2540,6.666666666666667e-05
-2530,4.4444444444444447e-05
-2520,6.666666666666667e-05
-2510,6.666666666666667e-05
-2500,3.3333333333333335e-05
-2490,4.4444444444444447e-05
-2480,2.2222222222222223e-05
-2470,7.777777777777778e-05
-2460,8.888888888888889e-05
-2450,4.4444444444444447e-05
-2440,7.777777777777778e-05
-2430,0.0001
-2420,4.4444444444444447e-05
-2410,5.555555555555556e-05
-2400,0.00011111111111111112
-2390,8.888888888888889e-05
-2380,2.2222222222222223e-05
-2370,6.666666666666667e-05
-2360,5.555555555555556e-05
-2350,3.3333333333333335e-05
-2340,6.666666666666667e-05
-2330,5.555555555555556e-05
-2320,4.4444444444444447e-05
-2310,5.555555555555556e-05
-2300,7.777777777777778e-05
-2290,7.777777777777778e-05
-2280,5.555555555555556e-05
-2270,4.4444444444444447e-05
-2260,0.0001
-2250,8.888888888888889e-05
-2240,0.00012222222222222221
-2230,5.555555555555556e-05
-2220,6.666666666666667e-05
-2210,8.888888888888889e-05
-2200,8.888888888888889e-05
-2190,7.777777777777778e-05
-2180,5.555555555555556e-05
-2170,7.777777777777778e-05
-2160,3.3333333333333335e-05
-2150,6.666666666666667e-05
-2140,0.00014444444444444444
-2130,5.555555555555556e-05
-2120,3.3333333333333335e-05
-2110,5.555555555555556e-05
-2100,5.555555555555556e-05
-2090,7.777777777777778e-05
-2080,8.888888888888889e-05
-2070,5.555555555555556e-05
-2060,3.3333333333333335e-05
-2050,6.666666666666667e-05
-2040,0.00011111111111111112
-2030,6.666666666666667e-05
-2020,0.0001
-2010,0.00011111111111111112
-2000,4.4444444444444447e-05
-1990,8.888888888888889e-05
-1980,7.777777777777778e-05
-1970,8.888888888888889e-05
-1960,0.00011111111111111112
-1950,0.0001
-1940,6.666666666666667e-05
-1930,7.777777777777778e-05
-1920,0.00016666666666666666
-1910,0.00015555555555555556
-1900,7.777777777777778e-05
-1890,0.0001
-1880,0.0001
-1870,0.00011111111111111112
-1860,8.888888888888889e-05
-1850,0.00015555555555555556
-1840,0.0001
-1830,8.888888888888889e-05
-1820,0.00011111111111111112
-1810,0.00012222222222222221
-1800,0.00013333333333333334
-1790,0.00012222222222222221
-1780,0.00013333333333333334
-1770,0.00012222222222222221
-1760,8.888888888888889e-05
-1750,8.888888888888889e-05
-1740,0.00016666666666666666
-1730,0.00012222222222222221
-1720,7.777777777777778e-05
-1710,7.777777777777778e-05
-1700,7.777777777777778e-05
-1690,0.00013333333333333334
-1680,0.00015555555555555556
-1670,8.888888888888889e-05
-1660,0.00018888888888888888
-1650,0.00012222222222222221
-1640,7.777777777777778e-05
-1630,0.0001
-1620,5.555555555555556e-05
-1610,0.00011111111111111112
-1600,0.00015555555555555556
-1590,0.00014444444444444444
-1580,0.00013333333333333334
-1570,0.0002111111111111111
-1560,6.666666666666667e-05
-1550,0.0001
-1540,0.00011111111111111112
-1530,0.00013333333333333334
-1520,0.00013333333333333334
