year,probability_at_least_one_signal,expected_detectable_sources,window_limited_probability,window_limited_expected_sources,synchronization_loss_fraction,probability_p05,probability_p95
1800,0.012731614037391537,0.012813252182409645,0.004611254184323288,0.004621905380329742,0.6378107150609126,0.012727216560871613,0.012731614037391537
1900,0.013532675266147653,0.013624959590971049,0.004789618955673314,0.004801111444041174,0.6460700592103416,0.013528001815165535,0.013532675266147653
2000,0.014356426433205893,0.014460345332644326,0.004962245393418052,0.00497458265723885,0.6543537198128527,0.014351469330854606,0.014356426433205893
2100,0.015201327554883348,0.015317904443219522,0.005128052301583419,0.005141229270639848,0.662657601247724,0.01519607966897114,0.015201327554883348
2200,0.016065693281674287,0.016195980507522904,0.0052859763276886795,0.005299978874501958,0.6709773904548363,0.01606014807396209,0.016065693281674287
2300,0.016947703122889624,0.017092775063910347,0.005434983437612173,0.005449788029507633,0.6793085530114304,0.016941854694549497,0.016947703122889624
2400,0.017845413270386468,0.018006358675306432,0.005574080327733877,0.005589653853446804,0.6876463299965279,0.017839256403125336,0.017845413270386468
2500,0.01875676988716768,0.018934683553316567,0.005702325595895674,0.005718625380964221,0.695985735806415,0.018750300079513615,0.01875676988716768
2600,0.01967962370163512,0.019875597595692473,0.005818840493323263,0.005835814513293605,0.7043215570814093,0.019672837200015957,0.01967962370163512
2700,0.02061174572632818,0.020826859673386194,0.005922819083592268,0.005940406378418582,0.7126483529230219,0.020604639550496184,0.02061174572632818
2800,0.021550843900967398,0.021786155982117597,0.006013537642621913,0.006031668929474529,0.7209604565716348,0.0215434158635908,0.021550843900967398
2900,0.02249458044500996,0.02275111725528727,0.006090363144684696,0.006108961620331072,0.7292519787344716,0.022486829165131617,0.02249458044500996
3000,0.023440589693734748,0.023719336620584487,0.006152760694298154,0.006171743011960673,0.7375168127300706,0.023432514604010482,0.023440589693734748
3100,0.024386496185466622,0.024688387872094774,0.006200299781099261,0.0062195771811010565,0.7457486416275582,0.02437809753317731,0.024386496185466622
3200,0.025329932765286944,0.025655843923318895,0.006232659255057005,0.006252138823459561,0.7539409475417769,0.025321211607088244,0.025329932765286944
3300,0.02626855847261711,0.026619295204408453,0.006249630941697837,0.0062692169668161915,0.7620870232292122,0.026259516663222703,0.02626855847261711
3400,0.027200075986551386,0.027576367769115685,0.006251121840804896,0.006270717234317047,0.7701799861185809,0.02719071616148975,0.027200075986551386
3500,0.028122248413034456,0.028524740883376885,0.006237154877215545,0.0062566626244280445,0.7782127948800612,0.028112573965772235,0.028122248413034456
3600,0.029032915212047095,0.029462163877915254,0.00620786819775665,0.006227192800816084,0.78617826861628,0.02902293026584111,0.029032915212047095
3700,0.029930007080399057,0.0303864720614894,0.00616351303401963,0.006182561912216673,0.7940691087221269,0.029919716455181898,0.029930007080399057
3800,0.030811559625667173,0.031295601509076044,0.006104450175449028,0.006123134988497295,0.8018779234283293,0.030800968800523888,0.030811559625667173
3900,0.03167572568952881,0.03218760255992999,0.0060311451210901534,0.006049382984039032,0.8095972550019936,0.03166484076116497,0.03167572568952881
4000,0.032520786202906105,0.03306065188361426,0.0059441620002784745,0.005961876562666059,0.8172196095386127,0.03250961384068577,0.032520786202906105
4100,0.033345159480903885,0.033913062997218725,0.005844156372693754,0.005861278739149337,0.8247374892286664,0.03333370687893281,0.033345159480903885
4200,0.03414740889164447,0.03474329514350235,0.005731867035397409,0.005748336510359122,0.8321434269409548,0.03413568371854072,0.03414740889164447
4300,0.034926248859575626,0.03554996046703097,0.005608106979139715,0.005623871624083729,0.8394300229123473,0.03491425920647649,0.034926248859575626
4400,0.03568054918968511,0.03633182945295322,0.005473753647599167,0.005488770645102564,0.8465899832847423,0.035668303516963554,0.03568054918968511
4500,0.03640933772398647,0.037087834620299,0.0053297386612776165,0.005343974486124993,0.8536161601817222,0.036396844807411066,0.03640933772398647
4600,0.037111801365702246,0.03781707248804924,0.0051770371725125,0.0051904675756079075,0.8605015929704511,0.03709907024240426,0.037111801365702246
4700,0.037787285528222636,0.03851880385723142,0.005016657019306314,0.005029266835260377,0.8672395503096018,0.03777432544311894,0.037787285528222636
4800,0.038435292086251294,0.03919245247548748,0.004849627843652726,0.0048614106373436605,0.873823572544477,0.038422112439314884,0.038435292086251294
4900,0.03905547592392822,0.03983760217155662,0.0046769903349442865,0.004687947905873334,0.8802475139707919,0.039042086218847576,0.03905547592392822
5000,0.03964764019019895,0.040453992565613314,0.004499785750580965,0.004509927516796941,0.8865055844687239,0.03963404998474542,0.03964764019019895
5100,0.04021173038393011,0.04104151347714108,0.004319045855534442,0.00432838814049053,0.8925923899743327,0.04019794924249846,0.04021173038393011
5200,0.0407478274014027,0.04160019816485217,0.0041357834090096635,0.004144348655876193,0.8985029712561486,0.04073386484996989,0.0407478274014027
5300,0.041256139685551085,0.04213021554298463,0.0039509833117442605,0.003958799249539164,0.9042328404485214,0.04124200516937768,0.041256139685551085
5400,0.04173699462101155,0.04263186152509696,0.0037655945106379596,0.0037726932958645682,0.9097780148084199,0.04172269746531402,0.041736994621011624
5500,0.04219082932059792,0.04310554965029363,0.003580522739873415,0.003586940095886622,0.9151350471765822,0.042176378694365635,0.04219082932059792
5600,0.04261818094828751,0.0435518011477598,0.003396624159494932,0.0034023985337049132,0.9203010526513001,0.04260358583136857,0.04261818094828751
5700,0.04301967672071383,0.043971234593720085,0.003214699933848375,0.003219871690419739,0.9252737310250286,0.043004945874279124,0.04301967672071383
5800,0.04339602372424767,0.04436455531069723,0.003035491774166954,0.003040102436992462,0.9300513845817892,0.04338116566468002,0.04339602372424767
5900,0.043747998677792777,0.04473254465246812,0.002859678451826997,0.002863770009629525,0.9346329309167092,0.0437330216539762,0.043747998677792777
