year,baseline_probability,probability_p05,probability_p25,probability_p50,probability_p75,probability_p95
1800,0.014488350390356342,0.0014471451913667833,0.006863504186598535,0.015432609512800788,0.028027026894973717,0.05829139842981365
1900,0.01538279701043932,0.0015244603666120017,0.007415410185185767,0.016250240882957345,0.0293674632469699,0.06149984937621012
2000,0.01630117894282246,0.001603579029897001,0.007992940489982642,0.017088082978515107,0.030851602435720438,0.06476484425636331
2100,0.01724170701780736,0.0016843860133717637,0.008595524913492414,0.017944968317550214,0.03264037762220773,0.06807833307822106
2200,0.01820243881640482,0.001766757539465902,0.00922242692141989,0.018819631398661496,0.03456982550469162,0.07143191863111477
2300,0.01918129101060362,0.0018505618204411045,0.009872744247604509,0.019710715394778866,0.036280453781743965,0.07481692895822775
2400,0.02017605337670747,0.0019561507993166027,0.01054541145154722,0.020661177952058796,0.03753367362543053,0.07822449293209119
2500,0.021184404316112793,0.002067339165613824,0.011239204432792,0.021757723340291024,0.03890007017810654,0.08164561769846118
2600,0.022203927692323266,0.0021811528840742556,0.01195274688237849,0.02286782253445796,0.04032450913891725,0.08507126674040852
2700,0.023232130770884707,0.002297374716062278,0.012684518617421758,0.02398859311496021,0.04191986581248941,0.08849243733204235
2800,0.024266463030882424,0.0024157705662153917,0.01343286571131766,0.025117094032865606,0.04299106644657802,0.09190023619806481
2900,0.025304335603035244,0.0025360908863995505,0.01419601230010481,0.026250351023344665,0.044080737544061804,0.09528595226891194
3000,0.026343141080443777,0.0026580722697614138,0.014972073915568485,0.027385382122546154,0.04525217363343992,0.09903203506715988
3100,0.027380273443886494,0.002781439217757564,0.015735054194958437,0.02851922290569181,0.0465296413966787,0.10328730195133462
3200,0.028413147844257414,0.0029059060598979336,0.01650211191722878,0.029648951078136587,0.04785468570571258,0.10752066317156056
3300,0.029439219990140986,0.003031179003109702,0.01705882298808989,0.030771710072709568,0.049192917691838256,0.11172033251494048
3400,0.030456004898395284,0.003156958285213579,0.01749515680835842,0.03188473133496611,0.05050559651601405,0.11587492777764649
3500,0.031461094779755006,0.0032794153017049413,0.01792845119997688,0.03298535501204031,0.051790367281899286,0.11997355771861262
3600,0.03245217584932947,0.0033999717956945284,0.01835811465515283,0.03407104879951317,0.05305979070654904,0.12400590036464235
3700,0.0334270438730252,0.0035199517417646765,0.018783571709544422,0.035139424742851866,0.05431266322730477,0.12796227191587767
3800,0.0343836182848728,0.0036390775798358864,0.019204265493072553,0.03618825383438201,0.05553017282789666,0.13183368571142481
3900,0.0353199547363483,0.003757077920282698,0.019619660127656702,0.037215478292223436,0.056710688769949835,0.13561190092259626
4000,0.03623425596638441,0.0038736894615828297,0.02002924295338085,0.03821922145296758,0.057852812981802754,0.13928946084073038
4100,0.03712488090940236,0.003988658807747086,0.020432526566762366,0.03919779525404493,0.05895538029672373,0.14285972081324927
4200,0.03799035198761447,0.004101744163877496,0.02082905065713972,0.04014970532383266,0.06004114685049533,0.1463168660522861
4300,0.03882936056253827,0.004212716890393115,0.021218383629642956,0.04107365373666361,0.06114717999442734,0.14965591969185388
4400,0.03964077054852477,0.004321362899001641,0.021600124005763915,0.041968539525374826,0.06222007069712179,0.1528727416006937
4500,0.04042362021771162,0.004427483876248256,0.02197390159514051,0.042833457075389214,0.0632590483983998,0.15596401856733272
4600,0.04117712225067083,0.004530898323487975,0.02233937843472278,0.04366769255102654,0.06426349591400599,0.1589272465615605
4700,0.04190066210971244,0.004631442405184044,0.022696249494108256,0.04447071852676204,0.06525355167079319,0.16176070584269125
4800,0.042593794832137655,0.004728970600637578,0.023044243148260757,0.04522226256635492,0.0662403172049692,0.16446342973073985
4900,0.04325624035832121,0.004823356157330139,0.023383121421238356,0.045806464194471874,0.06719648376322676,0.1670351678832857
5000,0.043887877524289354,0.004914491347183381,0.02367357685956087,0.04636144040247231,0.06812163087372766,0.16947634493013697
5100,0.044488736860244904,0.005002287529907235,0.02392549108144909,0.046887590542497304,0.06901544762896739,0.17178801531169713
5200,0.04505899234533828,0.005086675030352855,0.024168630789363127,0.04738542365786719,0.06987772981421458,0.17397181514738533
5300,0.04559895227482713,0.005167602839265905,0.024403132640943126,0.04785554731479991,0.07070837650927628,0.17602991192942175
5400,0.04610904939872995,0.005245038149012271,0.024629143312669244,0.048298656278064844,0.0715073862129813,0.1779649527969146
5500,0.04658983049133403,0.005318965737758402,0.024846817950731792,0.04871552118624589,0.0722748525416817,0.17978001209726607
5600,0.04704194550856988,0.005389387217090269,0.025056318779420744,0.04910697736917041,0.07301095955427755,0.18147853888831028
5700,0.047466136485573296,0.005456320159331474,0.02525781386164233,0.0494739139356139,0.07371597675699448,0.18306430497683462
5800,0.04786322631999973,0.005519797121555404,0.02545147600394157,0.04981726324402397,0.07439025384116499,0.1845413540287439
5900,0.04823410757801905,0.005579864583940676,0.02563748179662606,0.050137990853016345,0.07503421520682066,0.18591395222425178
6000,0.04857973144978289,0.005636581820131121,0.025816010778358045,0.050437086032210365,0.07564835432392994,0.1871865408693722
6100,0.048901096969788393,0.0056900197172512325,0.025987244713716495,0.05071555289798618,0.07623322798168222,0.1883636913134068
6200,0.04919924060514358,0.0057402595627021324,0.026151366971826212,0.05097440222317834,0.07678945047434937,0.18945006246198598
6300,0.04947522630184065,0.005787391814235632,0.026308561994089402,0.05121464395485098,0.07731768777002324,0.1904503611171402
6400,0.04973013606568333,0.00583151486884525,0.02645901483925378,0.05143728046038987,0.0778186517059547,0.19136930532036678
6500,0.049965061141091116,0.005872733844895556,0.02660291079457927,0.05164330050934601,0.07829309425138492,0.192211590822205
6600,0.05018109383761116,0.005911159390695853,0.026740435042513444,0.05183367398685096,0.07874180187564334,0.19298186075279383
6700,0.05037932004103651,0.005946906531278807,0.026871772373118552,0.05200934732421464,0.0791655900560658,0.19368467852246307
6800,0.050560812433559144,0.005980093563689587,0.026997106933472348,0.05217123962341885,0.07956529795684619,0.19432450393992728
6900,0.0507266244357345,0.006010841009629803,0.027116622006217367,0.0523202394447736,0.07994178330646506,0.19504108048130772
7000,0.050877784872145226,0.006039270632681221,0.027230499810507375,0.05245720222091971,0.08029591749780024,0.19593508122176867
7100,0.05101529335288513,0.006065504525894644,0.027304300133485976,0.05258294825558468,0.08062858093146813,0.19675895661704068
7200,0.051140116354109866,0.006089664274022794,0.02734696830015068,0.05269826126208682,0.08094065861947333,0.19751673362660188
7300,0.05125318397326828,0.00611187019326026,0.02738687547365451,0.05280388739425684,0.08125906931201571,0.19821237218468085
7400,0.05135538732807021,0.006132240650067084,0.027424206121750505,0.052900534721276926,0.08156988656467579,0.1988497462363071
7500,0.051447576562844266,0.006150891459394797,0.02745913087802368,0.05298887309768768,0.08186237059104795,0.19943262723685062
7600,0.05153055942163498,0.006167935361545973,0.027491807605831975,0.05306953438049261,0.0821372630942131,0.1999646700522542
7700,0.05160510034420296,0.0061834815759066585,0.027522382412362795,0.05314311294659885,0.082395303940096,0.20044940117422508
7800,0.05167192003885035,0.006197635428936787,0.02755099060720631,0.053210166465836595,0.08263722848087787,0.2008902091449532
7900,0.05173169548481171,0.006210498053082764,0.027577757601740832,0.05327121688725012,0.08286376507777901,0.20129033706958066
8000,0.05178506031646202,0.006222166152649089,0.027602799747317025,0.05333328993438907,0.08307563282508776,0.20165287708155044
8100,0.05183260554209512,0.006232731832214932,0.027626225111607144,0.05344721263445257,0.08327353947572494,0.20198076661608963
8200,0.05187488055099321,0.006242282482858275,0.027648134193640955,0.053553039646448364,0.08345817956711057,0.20227678634015211
8300,0.05191239436420059,0.006250900721110475,0.027668620579027636,0.053651222320505176,0.08363023274470602,0.20254355958315806
8400,0.051945617086542106,0.0062586643755480455,0.027687771537551725,0.05374219821058246,0.08379036227933703,0.2027835531114074
8500,0.05197498151991786,0.006265646515828189,0.027705668565940894,0.05382639042883791,0.08393921377327562,0.20299907909001652
8600,0.05200088490074595,0.006271915518969157,0.0277223878789829,0.053904207125427706,0.08407741404902516,0.20319229807926253
8700,0.052023690727415195,0.006277535167924725,0.027738000852427724,0.05397604108688875,0.08420557021390146,0.2033652229170891
8800,0.05204373064682655,0.006282564777529654,0.02775257442127929,0.05404226944599255,0.08432426889270231,0.20351972334596674
8900,0.052061306372215066,0.006287059343250523,0.02776617143713256,0.05410325349563161,0.08443407562017963,0.20365753124994235
9000,0.0520766916077966,0.006291069708369873,0.027778850988167098,0.05415933859919886,0.08453553438445735,0.2037802463764117
9100,0.052090133958797136,0.006294642745560303,0.02779066868534344,0.05421085418981375,0.08462916731220446,0.2038893424265005
9200,0.05210185680858359,0.006297821549155026,0.027801676918184887,0.05425811385075535,0.0847154744860269,0.20398617340787562
9300,0.05211206114746658,0.006300645634713032,0.027811925083367828,0.054301415469504455,0.08479493388441667,0.20407198015390515
9400,0.052120927340497225,0.0063031511428665145,0.027821459789139746,0.05434104145797025,0.08486800143447001,0.20414789692332697
9500,0.05212861682415115,0.006305371044767999,0.027830325038348452,0.05437725903155727,0.08493511116759805,0.20421495800469636
